name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Where To Buy Heavy Equipment · Visited link,"4549 I-35, Gainesville, TX 76240",interstateheavyequipment.com,(469) 370-7501,0,4.7,38.7592215,-105.5517944
West Texas Machinery · Visited link,"2900 W American Blvd, Muleshoe, TX 79347",westtexasmachinery.com,(806) 566-6878,0,0.0,34.2423529,-111.985213
Southwest Equipment · Visited link,"1706 N Stemmons Fwy, Lewisville, TX 75067",southwestequipment.com,(800) 867-9177,0,4.3,33.0676522,-106.2440787
World Wide Equipment Sales · Visited link,"2950 E Princeton Dr, Princeton, TX 75407",worldwideequip.com,(469) 408-6969,0,5.0,33.0676522,-106.2440787
"EquipmentDealz, LLC · Visited link","11442 Newkirk St, Dallas, TX 75229",equipmentdealz.com,(972) 666-9501,0,5.0,33.0676522,-106.2440787
I-30 Equipment Sales · Visited link,"6006 I-30, Royse City, TX 75189",i-30equipmentsales.com,(214) 679-6704,0,5.0,33.0676522,-106.2440787
